#{"t_start": 1767870456.440601, "env_id": "LunarLander-v3"}
r,l,t
-72.894081,200,1827.975948
-115.363077,158,1828.126856
-27.792151,133,1828.244385
-92.573971,334,1828.552547
80.299042,1000,1829.472535
-104.734845,144,1829.610384
-26.389101,1000,1830.546263
69.529431,1000,1831.484462
-48.499083,1000,1832.438497
-30.741981,171,1832.603059
-111.011137,434,1833.036379
-21.851399,332,1833.370544
52.488016,1000,1834.355919
103.33925,1000,1886.649389
-39.851708,225,1886.864383
-220.165844,133,1886.992155
11.146631,1000,1887.943097
65.653148,1000,1888.902368
-34.207319,243,1889.131079
68.743982,1000,1890.097419
-12.192966,216,1890.296505
-202.946441,345,1890.631069
132.610509,1000,1891.595525
26.295592,1000,1892.587962
-62.013219,1000,1893.59491
79.212546,1000,1894.582333
221.15853,892,1895.451666
-178.164509,766,1939.078498
-24.844008,1000,1940.099939
-43.810868,1000,1941.130085
21.619207,1000,1942.149983
-100.371383,685,1942.846112
56.161753,1000,1943.887076
46.657747,1000,1944.943066
32.403899,1000,1945.969602
-111.848443,188,1946.167627
68.348141,1000,1947.188711
-55.518205,1000,1948.232572
-52.934149,1000,1992.660495
-95.817694,167,1992.831352
-54.068193,1000,1993.831423
-26.774364,1000,1994.835233
18.729269,1000,1995.832067
-43.935826,1000,1996.81401
-68.40702,1000,1997.792514
-123.140817,344,1998.133116
-10.909647,1000,1999.138644
-36.627826,1000,2000.13835
44.338378,1000,2001.156221
-137.852056,195,2001.356527
-108.209268,149,2001.504228
-115.849091,238,2001.742725
-143.889133,204,2001.946465
-59.613525,1000,2026.219199
57.372302,1000,2027.249707
-123.706048,155,2027.417377
-104.977494,197,2027.618675
-57.358394,1000,2028.638894
-47.583584,1000,2029.661588
-13.426005,1000,2030.686549
-45.853928,1000,2031.716428
-33.637501,1000,2032.744187
-38.687763,1000,2033.789919
-95.070176,1000,2034.810319
-107.779432,196,2035.012315
-71.29967,1000,2065.071668
-34.387005,1000,2066.105772
-35.816686,1000,2067.151246
-69.829807,1000,2068.161135
-126.760123,173,2068.335503
-69.680983,1000,2069.362637
-78.578537,1000,2070.397499
-87.536089,170,2070.577697
-79.807917,1000,2071.62084
-32.773093,1000,2072.709833
-23.918713,1000,2073.850977
-127.421889,207,2074.080301
-86.021669,183,2074.281857
-125.680565,227,2074.527268
-63.417856,1000,2111.814338
-46.286823,1000,2112.886518
-87.135428,1000,2113.912516
-140.606041,311,2114.22995
-148.11578,214,2114.457166
-124.791786,160,2114.620965
-73.094087,1000,2115.646288
-39.891935,1000,2116.692838
-76.74373,1000,2117.763815
-128.806529,234,2118.002103
-83.712011,1000,2119.066513
-88.062318,1000,2120.123431
-75.24028,1000,2121.174259
-106.584781,202,2121.383703
-35.338038,1000,2164.365235
-100.382088,148,2164.552697
-90.684204,1000,2165.83412
-90.584834,1000,2167.034363
-76.211494,1000,2168.180046
-66.379239,1000,2169.25411
-32.394515,1000,2170.305682
-110.795741,151,2170.461926
-57.215405,1000,2171.531168
-71.341134,1000,2172.597162
-63.579631,1000,2173.672243
